08-1652,Alabama,Gold,262,33,295,Advances to Regional Round
08-1069,Texas,Gold,272,21.45,293.45,Advances to Regional Round
08-2008,Florida,Gold,265,23.925,288.925,Advances to Regional Round
08-0415,South Carolina,Gold,257,28.875,285.875,Advances to Regional Round
08-2759,Michigan,Gold,260,24.75,284.75,Advances to Regional Round
08-2005,Florida,Gold,272,12.65,284.65,Advances to Regional Round
08-2517,Utah,Gold,252,31.35,283.35,Advances to Regional Round
08-0277,California,Gold,256,23.925,279.925,Advances to Regional Round
08-0275,California,Gold,253,24.75,277.75,Advances to Regional Round
08-2130,New Jersey,Gold,252,25.575,277.575,Advances to Regional Round
08-1777,Nevada,Gold,246,30.525,276.525,Advances to Regional Round
08-0755,Michigan,Gold,255,20.625,275.625,Advances to Regional Round
08-3343,Florida,Gold,246,28.875,274.875,Advances to Regional Round
08-0616,California,Gold,252,22.825,274.825,Advances to Regional Round
08-3024,New York,Gold,253,21.45,274.45,Advances to Regional Round
08-2705,Canada,Gold,258,15.125,273.125,Advances to Regional Round
08-1693,Texas,Gold,244,28.875,272.875,Advances to Regional Round
08-2266,Florida,Gold,244,28.05,272.05,Advances to Regional Round
08-1868,Indiana,Gold,244,28.05,272.05,Advances to Regional Round
08-1459,Ohio,Gold,239,33,272,Advances to Regional Round
08-1441,California,Gold,248,23.925,271.925,Advances to Regional Round
08-0221,California,Gold,239,32.175,271.175,Advances to Regional Round
08-1692,Texas,Gold,247,23.925,270.925,Advances to Regional Round
08-1690,California,Gold,241,28.875,269.875,Advances to Regional Round
08-2727,Oklahoma,Gold,245,24.75,269.75,Advances to Regional Round
08-1089,Virginia,Gold,245,24.75,269.75,Advances to Regional Round
08-2463,Alabama,Gold,240,28.875,268.875,Advances to Regional Round
08-1129,Florida,Gold,243,25.575,268.575,Advances to Regional Round
08-1578,California,Gold,242,26.4,268.4,Advances to Regional Round
08-0780,Colorado,Gold,238,29.7,267.7,Advances to Regional Round
08-0758,Arizona ,Gold,242,25.575,267.575,Advances to Regional Round
08-0088,Indiana,Gold,240,27.225,267.225,Advances to Regional Round
08-1827,Alabama,Gold,238,28.875,266.875,Advances to Regional Round
08-2981,Virginia,Gold,238,28.875,266.875,Advances to Regional Round
08-0624,Virginia,Gold,237,29.7,266.7,Advances to Regional Round
08-0137,Florida,Gold,238,28.05,266.05,Advances to Regional Round
08-1390,Indiana,Gold,238,28.05,266.05,Advances to Regional Round
08-1944,Alabama,Gold,233,33,266,Advances to Regional Round
08-2147,Florida,Gold,236,28.875,264.875,Advances to Regional Round
08-0044,Washington,Gold,240,23.925,263.925,Advances to Regional Round
